id_historial,grd_id,tipo_registro,timestamp,direccion,valor,tipo_historico,tiempo_insercion
66793729,8,11,2021-09-09 00:00:00,1,115,1,2021-09-09 00:00:01
66793730,8,11,2021-09-09 00:00:00,2,9805,1,2021-09-09 00:00:01
66793731,8,11,2021-09-09 00:00:00,3,627,1,2021-09-09 00:00:01
66793732,8,11,2021-09-09 00:00:00,4,47,1,2021-09-09 00:00:01
66793733,8,11,2021-09-09 00:00:00,5,2392,1,2021-09-09 00:00:01
66793734,8,11,2021-09-09 00:00:00,6,159,1,2021-09-09 00:00:01
66793735,8,11,2021-09-09 00:00:00,7,0,1,2021-09-09 00:00:01
66793736,8,11,2021-09-09 00:00:00,8,0,1,2021-09-09 00:00:01
66793737,8,11,2021-09-09 00:10:00,1,112,1,2021-09-09 00:10:01
66793738,8,11,2021-09-09 00:10:00,2,9806,1,2021-09-09 00:10:01
66793739,8,11,2021-09-09 00:10:00,3,642,1,2021-09-09 00:10:01
66793740,8,11,2021-09-09 00:10:00,4,47,1,2021-09-09 00:10:01
66793741,8,11,2021-09-09 00:10:00,5,2018,1,2021-09-09 00:10:01
66793742,8,11,2021-09-09 00:10:00,6,412,1,2021-09-09 00:10:01
66793743,8,11,2021-09-09 00:10:00,7,0,1,2021-09-09 00:10:01
66793744,8,11,2021-09-09 00:10:00,8,0,1,2021-09-09 00:10:01
66793745,8,11,2021-09-09 00:20:00,1,112,1,2021-09-09 00:20:01
66793746,8,11,2021-09-09 00:20:00,2,9806,1,2021-09-09 00:20:01
66793747,8,11,2021-09-09 00:20:00,3,643,1,2021-09-09 00:20:01
66793748,8,11,2021-09-09 00:20:00,4,47,1,2021-09-09 00:20:01
66793749,8,11,2021-09-09 00:20:00,5,2069,1,2021-09-09 00:20:01
66793750,8,11,2021-09-09 00:20:00,6,314,1,2021-09-09 00:20:01
66793751,8,11,2021-09-09 00:20:00,7,0,1,2021-09-09 00:20:01
66793752,8,11,2021-09-09 00:20:00,8,0,1,2021-09-09 00:20:01
66793753,8,11,2021-09-09 00:30:00,1,111,1,2021-09-09 00:30:01
66793754,8,11,2021-09-09 00:30:00,2,9809,1,2021-09-09 00:30:01
66793755,8,11,2021-09-09 00:30:00,3,645,1,2021-09-09 00:30:01
66793756,8,11,2021-09-09 00:30:00,4,46,1,2021-09-09 00:30:01
66793757,8,11,2021-09-09 00:30:00,5,1880,1,2021-09-09 00:30:01
66793758,8,11,2021-09-09 00:30:00,6,229,1,2021-09-09 00:30:01
66793759,8,11,2021-09-09 00:30:00,7,0,1,2021-09-09 00:30:01
66793760,8,11,2021-09-09 00:30:00,8,0,1,2021-09-09 00:30:01
66793761,8,11,2021-09-09 00:40:00,1,109,1,2021-09-09 00:40:01
66793762,8,11,2021-09-09 00:40:00,2,9809,1,2021-09-09 00:40:01
66793763,8,11,2021-09-09 00:40:00,3,650,1,2021-09-09 00:40:01
66793764,8,11,2021-09-09 00:40:00,4,46,1,2021-09-09 00:40:01
66793765,8,11,2021-09-09 00:40:00,5,2327,1,2021-09-09 00:40:01
66793766,8,11,2021-09-09 00:40:00,6,138,1,2021-09-09 00:40:01
66793767,8,11,2021-09-09 00:40:00,7,0,1,2021-09-09 00:40:01
66793768,8,11,2021-09-09 00:40:00,8,0,1,2021-09-09 00:40:01
66793769,8,11,2021-09-09 00:50:00,1,109,1,2021-09-09 00:50:00
66793770,8,11,2021-09-09 00:50:00,2,9811,1,2021-09-09 00:50:00
66793771,8,11,2021-09-09 00:50:00,3,654,1,2021-09-09 00:50:00
66793772,8,11,2021-09-09 00:50:00,4,46,1,2021-09-09 00:50:00
66793773,8,11,2021-09-09 00:50:00,5,2121,1,2021-09-09 00:50:00
66793774,8,11,2021-09-09 00:50:00,6,278,1,2021-09-09 00:50:00
66793775,8,11,2021-09-09 00:50:00,7,0,1,2021-09-09 00:50:00
66793776,8,11,2021-09-09 00:50:00,8,0,1,2021-09-09 00:50:00
66793777,8,11,2021-09-09 01:00:00,1,109,1,2021-09-09 01:00:00
66793778,8,11,2021-09-09 01:00:00,2,9811,1,2021-09-09 01:00:00
66793779,8,11,2021-09-09 01:00:00,3,653,1,2021-09-09 01:00:00
66793780,8,11,2021-09-09 01:00:00,4,46,1,2021-09-09 01:00:00
66793781,8,11,2021-09-09 01:00:00,5,1893,1,2021-09-09 01:00:00
66793782,8,11,2021-09-09 01:00:00,6,160,1,2021-09-09 01:00:00
66793783,8,11,2021-09-09 01:00:00,7,0,1,2021-09-09 01:00:01
66793784,8,11,2021-09-09 01:00:00,8,0,1,2021-09-09 01:00:01
66793785,8,11,2021-09-09 01:10:00,1,109,1,2021-09-09 01:10:01
66793786,8,11,2021-09-09 01:10:00,2,9811,1,2021-09-09 01:10:01
66793787,8,11,2021-09-09 01:10:00,3,658,1,2021-09-09 01:10:01
66793788,8,11,2021-09-09 01:10:00,4,47,1,2021-09-09 01:10:01
66793789,8,11,2021-09-09 01:10:00,5,2248,1,2021-09-09 01:10:01
66793790,8,11,2021-09-09 01:10:00,6,227,1,2021-09-09 01:10:01
66793791,8,11,2021-09-09 01:10:00,7,0,1,2021-09-09 01:10:01
66793792,8,11,2021-09-09 01:10:00,8,0,1,2021-09-09 01:10:01
66793793,8,11,2021-09-09 01:20:00,1,108,1,2021-09-09 01:20:01
66793794,8,11,2021-09-09 01:20:00,2,9810,1,2021-09-09 01:20:01
66793795,8,11,2021-09-09 01:20:00,3,665,1,2021-09-09 01:20:01
66793796,8,11,2021-09-09 01:20:00,4,48,1,2021-09-09 01:20:01
66793797,8,11,2021-09-09 01:20:00,5,1955,1,2021-09-09 01:20:01
66793798,8,11,2021-09-09 01:20:00,6,324,1,2021-09-09 01:20:01
66793799,8,11,2021-09-09 01:20:00,7,0,1,2021-09-09 01:20:01
66793800,8,11,2021-09-09 01:20:00,8,0,1,2021-09-09 01:20:01
66793801,8,11,2021-09-09 01:30:00,1,105,1,2021-09-09 01:30:01
66793802,8,11,2021-09-09 01:30:00,2,9806,1,2021-09-09 01:30:01
66793803,8,11,2021-09-09 01:30:00,3,673,1,2021-09-09 01:30:01
66793804,8,11,2021-09-09 01:30:00,4,47,1,2021-09-09 01:30:01
66793805,8,11,2021-09-09 01:30:00,5,1889,1,2021-09-09 01:30:01
66793806,8,11,2021-09-09 01:30:00,6,236,1,2021-09-09 01:30:01
66793807,8,11,2021-09-09 01:30:00,7,0,1,2021-09-09 01:30:01
66793808,8,11,2021-09-09 01:30:00,8,0,1,2021-09-09 01:30:01
66793809,8,11,2021-09-09 01:40:00,1,104,1,2021-09-09 01:40:01
66793810,8,11,2021-09-09 01:40:00,2,9807,1,2021-09-09 01:40:01
66793811,8,11,2021-09-09 01:40:00,3,682,1,2021-09-09 01:40:01
66793812,8,11,2021-09-09 01:40:00,4,48,1,2021-09-09 01:40:01
66793813,8,11,2021-09-09 01:40:00,5,2150,1,2021-09-09 01:40:01
66793814,8,11,2021-09-09 01:40:00,6,122,1,2021-09-09 01:40:01
66793815,8,11,2021-09-09 01:40:00,7,0,1,2021-09-09 01:40:01
66793816,8,11,2021-09-09 01:40:00,8,0,1,2021-09-09 01:40:01
66793817,8,11,2021-09-09 01:50:00,1,103,1,2021-09-09 01:50:01
66793818,8,11,2021-09-09 01:50:00,2,9804,1,2021-09-09 01:50:01
66793819,8,11,2021-09-09 01:50:00,3,689,1,2021-09-09 01:50:01
