"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
"2023-09-21 03:02:00",186205,11.79,-0.021,-2560,-2868
"2023-09-21 03:03:00",186206,11.91,-0.021,-2559,-2867
"2023-09-21 03:04:00",186207,11.9,-0.02,-2559,-2867
"2023-09-21 03:05:00",186208,11.2,-0.021,-2559,-2866
"2023-09-21 03:06:00",186209,11.89,-0.021,-2557,-2865
"2023-09-21 03:07:00",186210,11.89,-0.021,-2558,-2865
"2023-09-21 03:08:00",186211,11.47,-0.021,-2557,-2864
"2023-09-21 03:09:00",186212,10.55,-0.02,-2558,-2864
"2023-09-21 03:10:00",186213,10.88,-0.02,-2558,-2864
"2023-09-21 03:11:00",186214,11.91,-0.019,-2558,-2864
"2023-09-21 03:12:00",186215,11.9,-0.019,-2558,-2865
"2023-09-21 03:13:00",186216,11.82,-0.019,-2558,-2866
"2023-09-21 03:14:00",186217,10.82,-0.019,-2559,-2866
"2023-09-21 03:15:00",186218,11.62,-0.018,-2559,-2866
"2023-09-21 03:16:00",186219,11.91,-0.019,-2558,-2865
"2023-09-21 03:17:00",186220,11.9,-0.02,-2558,-2865
"2023-09-21 03:18:00",186221,11.91,-0.019,-2557,-2864
"2023-09-21 03:19:00",186222,11.66,-0.02,-2557,-2864
"2023-09-21 03:20:00",186223,11.89,-0.019,-2559,-2865
"2023-09-21 03:21:00",186224,11.89,-0.018,-2560,-2867
"2023-09-21 03:22:00",186225,11.67,-0.018,-2560,-2868
"2023-09-21 03:23:00",186226,11.88,-0.018,-2559,-2868
"2023-09-21 03:24:00",186227,11.9,-0.019,-2559,-2867
"2023-09-21 03:25:00",186228,11.89,-0.019,-2558,-2866
"2023-09-21 03:26:00",186229,11.66,-0.018,-2558,-2866
"2023-09-21 03:27:00",186230,11.89,-0.018,-2558,-2866
"2023-09-21 03:28:00",186231,11.89,-0.018,-2558,-2866
"2023-09-21 03:29:00",186232,11.66,-0.019,-2558,-2866
"2023-09-21 03:30:00",186233,11.89,-0.019,-2558,-2866
"2023-09-21 03:31:00",186234,11.9,-0.019,-2558,-2866
"2023-09-21 03:32:00",186235,11.89,-0.019,-2558,-2866
"2023-09-21 03:33:00",186236,11.52,-0.019,-2559,-2867
"2023-09-21 03:34:00",186237,11.89,-0.018,-2560,-2868
"2023-09-21 03:35:00",186238,11.89,-0.018,-2560,-2869
"2023-09-21 03:36:00",186239,11.66,-0.018,-2559,-2868
"2023-09-21 03:37:00",186240,11.89,-0.018,-2559,-2868
"2023-09-21 03:38:00",186241,11.9,-0.018,-2559,-2867
"2023-09-21 03:39:00",186242,11.84,-0.018,-2558,-2866
"2023-09-21 03:40:00",186243,11.73,-0.018,-2558,-2866
"2023-09-21 03:41:00",186244,11.9,-0.018,-2558,-2866
"2023-09-21 03:42:00",186245,11.89,-0.018,-2558,-2865
"2023-09-21 03:43:00",186246,11.49,-0.019,-2557,-2865
"2023-09-21 03:44:00",186247,11.89,-0.018,-2558,-2865
"2023-09-21 03:45:00",186248,11.9,-0.018,-2558,-2866
"2023-09-21 03:46:00",186249,11.81,-0.018,-2558,-2866
"2023-09-21 03:47:00",186250,11.3,-0.018,-2559,-2867
"2023-09-21 03:48:00",186251,11.8,-0.017,-2559,-2868
"2023-09-21 03:49:00",186252,11.91,-0.018,-2559,-2868
"2023-09-21 03:50:00",186253,11.9,-0.019,-2557,-2866
"2023-09-21 03:51:00",186254,11.91,-0.018,-2558,-2866
"2023-09-21 03:52:00",186255,11.66,-0.019,-2558,-2867
"2023-09-21 03:53:00",186256,11.9,-0.019,-2558,-2867
"2023-09-21 03:54:00",186257,11.89,-0.018,-2559,-2868
"2023-09-21 03:55:00",186258,11.68,-0.018,-2559,-2868
"2023-09-21 03:56:00",186259,11.89,-0.019,-2559,-2867
"2023-09-21 03:57:00",186260,11.9,-0.018,-2559,-2868
"2023-09-21 03:58:00",186261,11.8,-0.017,-2560,-2869
"2023-09-21 03:59:00",186262,11.51,-0.017,-2560,-2869
"2023-09-21 04:00:00",186263,11.82,-0.017,-2559,-2869
"2023-09-21 04:01:00",186264,11.82,-0.017,-2558,-2867
"2023-09-21 04:02:00",186265,11.78,-0.016,-2558,-2867
"2023-09-21 04:03:00",186266,11.9,-0.016,-2559,-2867
"2023-09-21 04:04:00",186267,11.9,-0.015,-2559,-2867
"2023-09-21 04:05:00",186268,11.77,-0.015,-2558,-2867
"2023-09-21 04:06:00",186269,11.48,-0.015,-2558,-2867
"2023-09-21 04:07:00",186270,11.72,-0.015,-2558,-2866
"2023-09-21 04:08:00",186271,11.88,-0.015,-2559,-2868
"2023-09-21 04:09:00",186272,11.9,-0.015,-2559,-2868
"2023-09-21 04:10:00",186273,11.89,-0.016,-2558,-2867
"2023-09-21 04:11:00",186274,11.51,-0.015,-2558,-2867
"2023-09-21 04:12:00",186275,11.92,-0.015,-2558,-2866
"2023-09-21 04:13:00",186276,11.91,-0.016,-2558,-2866
"2023-09-21 04:14:00",186277,11.78,-0.016,-2557,-2865
"2023-09-21 04:15:00",186278,11.89,-0.016,-2557,-2865
"2023-09-21 04:16:00",186279,11.9,-0.016,-2558,-2866
"2023-09-21 04:17:00",186280,11.85,-0.016,-2558,-2866
"2023-09-21 04:18:00",186281,11.84,-0.016,-2558,-2866
"2023-09-21 04:19:00",186282,11.9,-0.016,-2558,-2865
"2023-09-21 04:20:00",186283,11.89,-0.015,-2558,-2866
"2023-09-21 04:21:00",186284,11.46,-0.016,-2558,-2866
"2023-09-21 04:22:00",186285,11.32,-0.016,-2557,-2865
"2023-09-21 04:23:00",186286,11.86,-0.016,-2557,-2865
"2023-09-21 04:24:00",186287,11.91,-0.016,-2557,-2865
"2023-09-21 04:25:00",186288,11.91,-0.016,-2558,-2866
"2023-09-21 04:26:00",186289,11.56,-0.016,-2557,-2866
"2023-09-21 04:27:00",186290,11.2,-0.016,-2556,-2864
"2023-09-21 04:28:00",186291,11.79,-0.016,-2555,-2863
"2023-09-21 04:29:00",186292,11.89,-0.016,-2556,-2863
"2023-09-21 04:30:00",186293,11.89,-0.016,-2556,-2863
"2023-09-21 04:31:00",186294,11.73,-0.016,-2557,-2863
"2023-09-21 04:32:00",186295,11.85,-0.017,-2557,-2864
"2023-09-21 04:33:00",186296,11.9,-0.016,-2558,-2865
"2023-09-21 04:34:00",186297,11.9,-0.016,-2558,-2865
"2023-09-21 04:35:00",186298,11.37,-0.017,-2558,-2864
"2023-09-21 04:36:00",186299,11.81,-0.017,-2557,-2863
"2023-09-21 04:37:00",186300,11.89,-0.017,-2558,-2862
"2023-09-21 04:38:00",186301,11.9,-0.016,-2559,-2863
"2023-09-21 04:39:00",186302,11.9,-0.016,-2561,-2864
"2023-09-21 04:40:00",186303,11.68,-0.016,-2561,-2865
"2023-09-21 04:41:00",186304,11.89,-0.016,-2560,-2864
"2023-09-21 04:42:00",186305,11.9,-0.015,-2561,-2864
"2023-09-21 04:43:00",186306,11.77,-0.016,-2562,-2865
"2023-09-21 04:44:00",186307,11.65,-0.016,-2563,-2865
"2023-09-21 04:45:00",186308,11.9,-0.015,-2563,-2865
"2023-09-21 04:46:00",186309,11.91,-0.014,-2562,-2866
"2023-09-21 04:47:00",186310,11.67,-0.016,-2561,-2865
"2023-09-21 04:48:00",186311,11.89,-0.015,-2562,-2865
"2023-09-21 04:49:00",186312,11.9,-0.016,-2562,-2865
"2023-09-21 04:50:00",186313,11.71,-0.015,-2562,-2865
"2023-09-21 04:51:00",186314,11.84,-0.015,-2563,-2866
"2023-09-21 04:52:00",186315,11.9,-0.015,-2562,-2866
"2023-09-21 04:53:00",186316,11.89,-0.015,-2561,-2865
"2023-09-21 04:54:00",186317,11.5,-0.014,-2562,-2865
