TS,RN,Volts,mV,mV,mV,,
2023-09-21 04:11:00,186274,11.51,-0.015,-2558,-2867,,
2023-09-21 04:12:00,186275,11.92,-0.015,-2558,-2866,,
2023-09-21 04:13:00,186276,11.91,-0.016,-2558,-2866,,
2023-09-21 04:14:00,186277,11.78,-0.016,-2557,-2865,,
2023-09-21 04:15:00,186278,11.89,-0.016,-2557,-2865,,
2023-09-21 04:16:00,186279,11.9,-0.016,-2558,-2866,,
2023-09-21 04:17:00,186280,11.85,-0.016,-2558,-2866,,
2023-09-21 04:18:00,186281,11.84,-0.016,-2558,-2866,,
2023-09-21 04:19:00,186282,11.9,-0.016,-2558,-2865,,
2023-09-21 04:20:00,186283,11.89,-0.015,-2558,-2866,,
2023-09-21 04:21:00,186284,11.46,-0.016,-2558,-2866,,
2023-09-21 04:22:00,186285,11.32,-0.016,-2557,-2865,,
2023-09-21 04:23:00,186286,11.86,-0.016,-2557,-2865,,
2023-09-21 04:24:00,186287,11.91,-0.016,-2557,-2865,,
2023-09-21 04:25:00,186288,11.91,-0.016,-2558,-2866,,
2023-09-21 04:26:00,186289,11.56,-0.016,-2557,-2866,,
2023-09-21 04:27:00,186290,11.2,-0.016,-2556,-2864,,
2023-09-21 04:28:00,186291,11.79,-0.016,-2555,-2863,,
2023-09-21 04:29:00,186292,11.89,-0.016,-2556,-2863,,
2023-09-21 04:30:00,186293,11.89,-0.016,-2556,-2863,,
2023-09-21 04:31:00,186294,11.73,-0.016,-2557,-2863,,
2023-09-21 04:32:00,186295,11.85,-0.017,-2557,-2864,,
2023-09-21 04:33:00,186296,11.9,-0.016,-2558,-2865,,
2023-09-21 04:34:00,186297,11.9,-0.016,-2558,-2865,,
2023-09-21 04:35:00,186298,11.37,-0.017,-2558,-2864,,
2023-09-21 04:36:00,186299,11.81,-0.017,-2557,-2863,,
2023-09-21 04:37:00,186300,11.89,-0.017,-2558,-2862,,
2023-09-21 04:38:00,186301,11.9,-0.016,-2559,-2863,,
2023-09-21 04:39:00,186302,11.9,-0.016,-2561,-2864,,
2023-09-21 04:40:00,186303,11.68,-0.016,-2561,-2865,,
2023-09-21 04:41:00,186304,11.89,-0.016,-2560,-2864,,
2023-09-21 04:42:00,186305,11.9,-0.015,-2561,-2864,,
2023-09-21 04:43:00,186306,11.77,-0.016,-2562,-2865,,
2023-09-21 04:44:00,186307,11.65,-0.016,-2563,-2865,,
2023-09-21 04:45:00,186308,11.9,-0.015,-2563,-2865,,
2023-09-21 04:46:00,186309,11.91,-0.014,-2562,-2866,,
2023-09-21 04:47:00,186310,11.67,-0.016,-2561,-2865,,
2023-09-21 04:48:00,186311,11.89,-0.015,-2562,-2865,,
2023-09-21 04:49:00,186312,11.9,-0.016,-2562,-2865,,
2023-09-21 04:50:00,186313,11.71,-0.015,-2562,-2865,,
2023-09-21 04:51:00,186314,11.84,-0.015,-2563,-2866,,
2023-09-21 04:52:00,186315,11.9,-0.015,-2562,-2866,,
2023-09-21 04:53:00,186316,11.89,-0.015,-2561,-2865,,
2023-09-21 04:54:00,186317,11.5,-0.014,-2562,-2865,,
2023-09-21 04:55:00,186318,11.89,-0.014,-2563,-2865,,
2023-09-21 04:56:00,186319,11.89,-0.014,-2562,-2866,,
2023-09-21 04:57:00,186320,11.65,-0.014,-2562,-2865,,
2023-09-21 04:58:00,186321,11.75,-0.015,-2561,-2864,,
2023-09-21 04:59:00,186322,11.9,-0.015,-2561,-2864,,
2023-09-21 05:00:00,186323,11.89,-0.014,-2562,-2864,,
2023-09-21 05:01:00,186324,11.7,-0.015,-2561,-2864,,
