"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
2023-09-24 00:00:00,190343,11.9,-0.003,-2555,-2856,,
2023-09-24 00:01:00,190344,11.63,-0.003,-2556,-2857,,
2023-09-24 00:02:00,190345,11.9,-0.003,-2556,-2857,,
2023-09-24 00:03:00,190346,11.9,-0.003,-2558,-2859,,
2023-09-24 00:04:00,190347,11.91,-0.002,-2557,-2860,,
2023-09-24 00:05:00,190348,11.67,-0.002,-2556,-2859,,
2023-09-24 00:06:00,190349,11.9,-0.003,-2557,-2860,,
2023-09-24 00:07:00,190350,11.9,-0.003,-2557,-2859,,
2023-09-24 00:08:00,190351,11.61,-0.003,-2556,-2858,,
2023-09-24 00:09:00,190352,11.74,-0.003,-2555,-2856,,
2023-09-24 00:10:00,190353,11.9,-0.003,-2555,-2856,,
2023-09-24 00:11:00,190354,11.9,-0.003,-2554,-2856,,
2023-09-24 00:12:00,190355,11.64,-0.003,-2555,-2856,,
2023-09-24 00:13:00,190356,11.9,-0.003,-2555,-2856,,
2023-09-24 00:14:00,190357,11.9,-0.003,-2555,-2857,,
2023-09-24 00:15:00,190358,11.66,-0.003,-2556,-2857,,
2023-09-24 00:16:00,190359,11.63,-0.003,-2556,-2857,,
2023-09-24 00:17:00,190360,11.9,-0.003,-2557,-2858,,
2023-09-24 00:18:00,190361,11.89,-0.003,-2557,-2859,,
2023-09-24 00:19:00,190362,11.68,-0.003,-2558,-2860,,
2023-09-24 00:20:00,190363,11.91,-0.003,-2557,-2860,,
2023-09-24 00:21:00,190364,11.9,-0.003,-2557,-2860,,
2023-09-24 00:22:00,190365,11.63,-0.003,-2557,-2859,,
2023-09-24 00:23:00,190366,11.66,-0.003,-2557,-2859,,
2023-09-24 00:24:00,190367,11.91,-0.003,-2558,-2860,,
2023-09-24 00:25:00,190368,11.89,-0.003,-2558,-2861,,
2023-09-24 00:26:00,190369,11.47,-0.003,-2557,-2860,,
2023-09-24 00:27:00,190370,11.24,-0.003,-2558,-2860,,
2023-09-24 00:28:00,190371,11.63,-0.002,-2559,-2860,,
2023-09-24 00:29:00,190372,11.89,-0.002,-2557,-2861,,
2023-09-24 00:30:00,190373,11.9,-0.002,-2558,-2862,,
2023-09-24 00:31:00,190374,11.3,-0.002,-2558,-2862,,
2023-09-24 00:32:00,190375,10.32,-0.003,-2557,-2861,,
2023-09-24 00:33:00,190376,11.48,-0.003,-2557,-2860,,
2023-09-24 00:34:00,190377,11.89,-0.003,-2557,-2860,,
2023-09-24 00:35:00,190378,11.9,-0.003,-2557,-2860,,
2023-09-24 00:36:00,190379,11.59,-0.003,-2557,-2860,,
2023-09-24 00:37:00,190380,11.76,-0.003,-2557,-2860,,
2023-09-24 00:38:00,190381,11.89,-0.003,-2557,-2860,,
2023-09-24 00:39:00,190382,11.9,-0.003,-2556,-2859,,
2023-09-24 00:40:00,190383,11.32,-0.003,-2556,-2859,,
2023-09-24 00:41:00,190384,10.54,-0.003,-2556,-2859,,
2023-09-24 00:42:00,190385,11.9,-0.003,-2556,-2859,,
2023-09-24 00:43:00,190386,11.91,-0.004,-2555,-2859,,
2023-09-24 00:44:00,190387,11.9,-0.004,-2556,-2858,,
2023-09-24 00:45:00,190388,11.67,-0.004,-2556,-2859,,
2023-09-24 00:46:00,190389,11.35,-0.004,-2557,-2860,,
2023-09-24 00:47:00,190390,11.86,-0.004,-2557,-2860,,
2023-09-24 00:48:00,190391,11.89,-0.004,-2558,-2861,,
2023-09-24 00:49:00,190392,11.91,-0.004,-2557,-2861,,
2023-09-24 00:50:00,190393,11.65,-0.004,-2558,-2860,,
2023-09-24 00:51:00,190394,11.27,-0.005,-2557,-2859,,
2023-09-24 00:52:00,190395,11.37,-0.005,-2556,-2859,,
2023-09-24 00:53:00,190396,11.9,-0.005,-2555,-2859,,
2023-09-24 00:54:00,190397,11.89,-0.005,-2556,-2859,,
2023-09-24 00:55:00,190398,11.89,-0.005,-2556,-2859,,
2023-09-24 00:56:00,190399,11.6,-0.005,-2556,-2859,,
2023-09-24 00:57:00,190400,11.77,-0.005,-2556,-2858,,
2023-09-24 00:58:00,190401,11.9,-0.005,-2557,-2859,,
2023-09-24 00:59:00,190402,11.89,-0.004,-2558,-2860,,
2023-09-24 01:00:00,190403,11.44,-0.004,-2558,-2861,,
2023-09-24 01:01:00,190404,11.89,-0.004,-2558,-2861,,
2023-09-24 01:02:00,190405,11.9,-0.004,-2558,-2861,,
2023-09-24 01:03:00,190406,11.62,-0.004,-2559,-2861,,
2023-09-24 01:04:00,190407,11.75,-0.004,-2558,-2861,,
2023-09-24 01:05:00,190408,11.9,-0.004,-2557,-2860,,
2023-09-24 01:06:00,190409,11.89,-0.004,-2555,-2859,,
2023-09-24 01:07:00,190410,11.49,-0.004,-2556,-2859,,
2023-09-24 01:08:00,190411,11.89,-0.004,-2556,-2858,,
2023-09-24 01:09:00,190412,11.9,-0.004,-2556,-2858,,
2023-09-24 01:10:00,190413,11.61,-0.004,-2556,-2859,,
2023-09-24 01:11:00,190414,11.71,-0.004,-2557,-2860,,
2023-09-24 01:12:00,190415,11.7,-0.004,-2558,-2861,,
