TS,RN,Volts,mV,mV,mV,,
2023-09-25 00:00:00,191783,11.64,-0.003,-2556,-2859,,
2023-09-25 00:01:00,191784,11.46,-0.002,-2555,-2859,,
2023-09-25 00:02:00,191785,11.9,-0.002,-2555,-2858,,
2023-09-25 00:03:00,191786,11.89,-0.002,-2555,-2858,,
2023-09-25 00:04:00,191787,11.65,-0.002,-2555,-2857,,
2023-09-25 00:05:00,191788,11.91,-0.003,-2555,-2857,,
2023-09-25 00:06:00,191789,11.9,-0.003,-2555,-2857,,
2023-09-25 00:07:00,191790,11.9,-0.003,-2556,-2858,,
2023-09-25 00:08:00,191791,11.55,-0.004,-2556,-2859,,
2023-09-25 00:09:00,191792,11.9,-0.004,-2556,-2859,,
2023-09-25 00:10:00,191793,11.89,-0.004,-2556,-2859,,
2023-09-25 00:11:00,191794,11.19,-0.004,-2556,-2859,,
2023-09-25 00:12:00,191795,11.87,-0.003,-2556,-2859,,
2023-09-25 00:13:00,191796,11.9,-0.003,-2557,-2860,,
2023-09-25 00:14:00,191797,11.9,-0.004,-2557,-2861,,
2023-09-25 00:15:00,191798,11.68,-0.004,-2556,-2860,,
2023-09-25 00:16:00,191799,11.89,-0.004,-2556,-2860,,
2023-09-25 00:17:00,191800,11.9,-0.004,-2555,-2859,,
2023-09-25 00:18:00,191801,11.44,-0.004,-2555,-2859,,
2023-09-25 00:19:00,191802,11.66,-0.004,-2556,-2859,,
2023-09-25 00:20:00,191803,11.9,-0.004,-2557,-2860,,
2023-09-25 00:21:00,191804,11.9,-0.004,-2555,-2859,,
2023-09-25 00:22:00,191805,11.38,-0.004,-2555,-2858,,
2023-09-25 00:23:00,191806,11.63,-0.004,-2555,-2858,,
2023-09-25 00:24:00,191807,11.9,-0.004,-2556,-2858,,
2023-09-25 00:25:00,191808,11.89,-0.004,-2556,-2859,,
2023-09-25 00:26:00,191809,11.66,-0.004,-2556,-2859,,
2023-09-25 00:27:00,191810,11.82,-0.004,-2556,-2859,,
2023-09-25 00:28:00,191811,11.89,-0.004,-2556,-2860,,
2023-09-25 00:29:00,191812,11.9,-0.004,-2557,-2860,,
2023-09-25 00:30:00,191813,11.91,-0.004,-2557,-2861,,
2023-09-25 00:31:00,191814,11.28,-0.004,-2556,-2860,,
2023-09-25 00:32:00,191815,11.91,-0.004,-2555,-2859,,
2023-09-25 00:33:00,191816,11.9,-0.004,-2556,-2859,,
2023-09-25 00:34:00,191817,11.73,-0.004,-2556,-2859,,
2023-09-25 00:35:00,191818,11.51,-0.004,-2556,-2858,,
2023-09-25 00:36:00,191819,11.9,-0.003,-2556,-2858,,
2023-09-25 00:37:00,191820,11.89,-0.004,-2555,-2858,,
2023-09-25 00:38:00,191821,11.65,-0.004,-2555,-2858,,
2023-09-25 00:39:00,191822,11.91,-0.004,-2556,-2858,,
2023-09-25 00:40:00,191823,11.9,-0.004,-2555,-2858,,
2023-09-25 00:41:00,191824,11.83,-0.005,-2555,-2858,,
2023-09-25 00:42:00,191825,11.24,-0.005,-2554,-2857,,
2023-09-25 00:43:00,191826,11.9,-0.004,-2555,-2857,,
2023-09-25 00:44:00,191827,11.89,-0.004,-2555,-2857,,
2023-09-25 00:45:00,191828,11.65,-0.005,-2556,-2858,,
2023-09-25 00:46:00,191829,11.91,-0.004,-2556,-2858,,
2023-09-25 00:47:00,191830,11.9,-0.004,-2555,-2858,,
2023-09-25 00:48:00,191831,11.91,-0.004,-2557,-2859,,
2023-09-25 00:49:00,191832,11.64,-0.004,-2557,-2859,,
